id,firstName,lastName,email,gender,contactNo,country,dob
1,dude,sam,dud@gmail.com,male,776549550,brazil,04-05-2004
2,dude,sam,dud@gmail.com,male,7765738935,brazil,04-05-2004
3,girl,sam,dud@gmail.com,female,7765738935,france,04-05-2004
4,dude,sam,dud@gmail.com,male,9028438935,brazil,04-05-2004
5,girl,sam,dud@gmail.com,female,7765738935,germany,04-05-2004
6,dude,sam,dud@gmail.com,male,7765738935,brazil,04-05-2004
7,dude,sam,dud@gmail.com,male,253638935,brazil,04-05-2004
8,girl,sam,dud@gmail.com,female,7765738935,brazil,04-05-2004
8,dude,sam,dud@gmail.com,male,0065738935,brazil,04-05-2004
9,dude,sam,dud@gmail.com,male,7765738935,Nigeria,04-05-2004
10,dude,sam,dud@gmail.com,male,8865738935,Nigeria,04-05-2004
